Trade #,Signal,Date,Price,Date,Price,Profit
1,Short,2026-02-13T00:25:00Z,1934.2800,2026-02-13T01:00:00Z,1933.4919,0.7881
2,Long,2026-02-13T03:30:00Z,1954.5500,2026-02-13T03:50:00Z,1950.6494,-3.9006
3,Short,2026-02-13T05:05:00Z,1937.9800,2026-02-13T05:40:00Z,1940.8373,-2.8573
4,Long,2026-02-13T08:45:00Z,1959.5500,2026-02-13T09:00:00Z,1955.6378,-3.9122
5,Short,2026-02-15T19:05:00Z,1937.5600,2026-02-15T19:20:00Z,1940.3960,-2.8360
6,Long,2026-02-15T20:35:00Z,1953.6700,2026-02-15T20:50:00Z,1949.7747,-3.8953
7,Short,2026-02-18T19:35:00Z,1926.7300,2026-02-18T19:40:00Z,1930.5850,-3.8550
8,Long,2026-02-18T20:30:00Z,1948.8700,2026-02-18T20:50:00Z,1946.6341,-2.2359
9,Short,2026-02-19T13:25:00Z,1933.0300,2026-02-19T13:50:00Z,1919.5316,13.4984
10,Long,2026-02-19T20:50:00Z,1949.4500,2026-02-19T21:30:00Z,1946.5369,-2.9131
11,Short,2026-02-20T13:35:00Z,1933.2600,2026-02-20T13:50:00Z,1932.1380,1.1220
12,Long,2026-02-20T14:35:00Z,1948.8800,2026-02-20T14:45:00Z,1947.7010,-1.1790
13,Short,2026-02-23T00:55:00Z,1931.1900,2026-02-23T01:10:00Z,1886.6659,44.5241
14,Long,2026-02-25T12:50:00Z,1952.2700,2026-02-25T13:50:00Z,1968.3923,16.1223
15,Short,2026-02-27T16:10:00Z,1936.2300,2026-02-27T16:20:00Z,1940.1037,-3.8737
16,Long,2026-02-28T20:10:00Z,1957.6000,2026-02-28T20:15:00Z,1953.6921,-3.9079
17,Short,2026-03-01T20:10:00Z,1934.6900,2026-03-01T20:50:00Z,1913.9121,20.7779
18,Long,2026-03-01T22:10:00Z,1956.4800,2026-03-01T22:15:00Z,1952.5847,-3.8953
19,Short,2026-03-01T22:25:00Z,1933.4600,2026-03-01T22:40:00Z,1921.5973,11.8627
20,Long,2026-03-02T00:35:00Z,1949.7600,2026-03-02T01:15:00Z,1979.7720,30.0120
21,Short,2026-03-02T07:05:00Z,1930.7800,2026-03-02T07:20:00Z,1932.3701,-1.5901
22,Long,2026-03-02T08:50:00Z,1946.8000,2026-03-02T09:40:00Z,1958.8555,12.0555
23,Short,2026-03-02T13:40:00Z,1930.9300,2026-03-02T13:55:00Z,1926.8784,4.0516
24,Long,2026-03-02T14:30:00Z,1948.0500,2026-03-02T15:25:00Z,2035.6741,87.6241
25,Short,2026-03-08T18:15:00Z,1930.1300,2026-03-08T18:25:00Z,1933.9938,-3.8638
26,Long,2026-03-08T19:10:00Z,1946.2400,2026-03-08T19:50:00Z,1964.4200,18.1800
27,Short,2026-03-08T22:00:00Z,1927.7100,2026-03-08T22:05:00Z,1931.5659,-3.8559
28,Long,2026-03-08T22:45:00Z,1946.1600,2026-03-08T22:55:00Z,1942.2731,-3.8869
